KEY,FACE_TYPE,CLIENT_ID,SKU_ID,TRACKING_LEVEL,OWNER_ID,ORIGIN_ID,CONDITION_ID,SPEC_CODE,SITE_ID,LOCATION_ID,ZONE_1,TRIGGER_QTY,MIN_REPLEN_QTY,MAX_TASK_QTY,MAX_RELD_REPLEN,AUTO_REPLEN,REPLEN_WHOLE,ABC_FREQUENCY,ABC_STORAGE,ABC_DISABLE,BATCH_REPLEN_MODE,START_DSTAMP,END_DSTAMP,QTY_ON_HAND,QTY_ALLOCATED,QTY_DUE,PRIMARY_FACE,MAXIMUM_QTY,OVERFILL_RELATIVE_QTY,REPLEN_TRACKING_LEVEL,CE_INV_TYPE,CE_UNDER_BOND,MULTIPLE_LOCATIONS,REPLEN_ON_HOLD,REPLEN_TO_TRIGGER,REPLEN_SPLIT_TO_FIT,MAX_LOCATIONS,FROM_LOCATION,TO_LOCATION,FROM_AISLE,TO_AISLE,FROM_BAY,TO_BAY,FROM_LEVEL,TO_LEVEL,USER_DEF_TYPE_1,USER_DEF_TYPE_2,USER_DEF_TYPE_3,USER_DEF_TYPE_4,USER_DEF_TYPE_5,USER_DEF_TYPE_6,USER_DEF_TYPE_7,USER_DEF_TYPE_8,USER_DEF_CHK_1,USER_DEF_CHK_2,USER_DEF_CHK_3,USER_DEF_CHK_4
66712,F,M+S,60704255,,M+S,,VETCERT,,9771,BB52A02,,1,480,,,Y,N,,,N,N,,,0,0,0,Y,480,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
70777,F,M+S,21061970,,M+S,,,,9771,BF31A02,,18,,,,Y,Y,,,N,N,,,18,936,3024,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,18,,,N,N,N,N
69108,F,M+S,60622949,,M+S,,,,9771,BB72A02,,100,,,,Y,Y,,,N,N,,,200,1400,1500,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,20,,,N,N,N,N
70585,F,M+S,20001852,,M+S,,,,9771,WE71A02,,30,,,,Y,Y,,,N,N,,,66,522,690,N,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,6,0,,N,N,N,N
71144,F,M+S,60573476,,M+S,,,,9771,AX12A01,,36,,,,Y,Y,,,N,N,,,42,102,180,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,6,,,N,N,N,N
57906,F,M+S,60626810,,M+S,,,,9771,AG58A01,,1,6720,,,Y,N,,,N,N,,,4152,132,0,Y,6720,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
71145,F,M+S,60573468,,M+S,,,,9771,AX24A01,,15,,,,Y,Y,,,N,N,,,84,66,0,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,3,,,N,N,N,N
66768,F,M+S,60690011,,M+S,,VETCERT,,9771,AT27A01,,1,720,,,Y,N,,,N,N,,,432,3672,4320,Y,720,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
66786,F,M+S,60715033,,M+S,,,,9771,AE65A02,,132,,,,Y,Y,,,N,N,,,420,12,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
66787,F,M+S,60724781,,M+S,,,,9771,AE64A02,,180,,,,Y,Y,,,N,N,,,216,12,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
